firm_id,city,state,region,num_paid_employees,monthly_revenue,annual_revenue_2014,last_month_income,family_applied_member,family_applied_spouse,family_applied_other,applied_third_round,selected_third_round,survival_chance_without_grant
17895,335.0,20.0,5.0,6.0,210000.0,1558800.0,115000.0,0.0,0.0,0.0,2.0,2.0,70.0
17943,224.0,1.0,3.0,6.0,208000.0,3510000.0,105000.0,0.0,0.0,1.0,1.0,2.0,50.0
17955,1.0,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
17992,8.0,19.0,5.0,22.0,350000.0,7200000.0,200000.0,0.0,0.0,0.0,2.0,2.0,50.0
18066,335.0,20.0,5.0,13.0,150000.0,1000000.0,30000.0,0.0,0.0,0.0,2.0,2.0,5.0
18080,85.0,10.0,2.0,6.0,300000.0,598100.0,150000.0,0.0,0.0,0.0,2.0,2.0,50.0
18096,10.0,3.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
18221,48.0,12.0,2.0,10.0,900000.0,9100000.0,406600.0,0.0,0.0,0.0,2.0,2.0,50.0
18250,155.0,25.0,7.0,4.0,3840616.0,9000000.0,700000.0,0.0,0.0,0.0,2.0,2.0,2.0
18278,184.0,25.0,7.0,3.0,700000.0,7200000.0,10000.0,0.0,0.0,0.0,2.0,2.0,50.0
18284,Unknown,Unknown,Unknown,6.0,270000.0,2200000.0,45000.0,0.0,0.0,0.0,2.0,2.0,50.0
18349,31.0,16.0,4.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,40.0
18393,63.0,7.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
18439,184.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
18449,21.0,11.0,3.0,10.0,450000.0,5000000.0,100000.0,0.0,0.0,0.0,2.0,2.0,90.0
18572,63.0,7.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
18613,184.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,1.0,2.0,50.0
18623,1.0,33.0,2.0,4.0,175000.0,1500000.0,50000.0,0.0,0.0,0.0,1.0,2.0,50.0
18636,24.0,9.0,2.0,7.0,500000.0,5000000.0,100000.0,0.0,0.0,0.0,2.0,2.0,60.0
18679,184.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
18716,Unknown,Unknown,Unknown,6.0,1800000.0,2200000.0,800000.0,0.0,0.0,0.0,2.0,2.0,50.0
18784,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
18788,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
18795,2.0,1.0,3.0,0.0,50000.0,200000.0,38000.0,0.0,0.0,0.0,2.0,2.0,50.0
18797,113.0,25.0,7.0,5.0,260000.0,2190000.0,115000.0,0.0,0.0,0.0,2.0,2.0,100.0
18888,50.0,32.0,6.0,6.0,109000.0,1873732.0,2.5,0.0,0.0,0.0,2.0,2.0,20.0
18955,214.0,13.0,1.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
19016,48.0,12.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,1.0,2.0,50.0
19032,19.0,15.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
19093,184.0,25.0,7.0,5.0,90000.0,600000.0,40000.0,0.0,0.0,0.0,2.0,2.0,50.0
19152,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
19162,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
19307,217.0,28.0,1.0,4.0,250000.0,500000.0,50000.0,0.0,0.0,0.0,1.0,2.0,50.0
19308,1.0,33.0,2.0,5.0,2870000.0,9730000.0,632000.0,0.0,0.0,0.0,1.0,2.0,50.0
19342,3.0,31.0,1.0,5.0,1500000.0,7000000.0,75000.0,0.0,0.0,0.0,2.0,2.0,60.0
19349,3.0,31.0,1.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
19363,27.0,30.0,1.0,0.0,0.1,272000.0,2.5,0.0,0.0,0.0,2.0,2.0,50.0
19379,34.0,10.0,2.0,0.0,30000.0,400000.0,25000.0,0.0,1.0,0.0,1.0,2.0,50.0
19417,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
19422,207.0,13.0,1.0,6.0,0.1,350000.0,2.5,0.0,1.0,0.0,1.0,2.0,50.0
19513,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
19515,Unknown,Unknown,Unknown,6.0,0.1,2200000.0,2.5,0.0,0.0,0.0,2.0,2.0,50.0
19519,8.0,19.0,5.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
19632,19.0,15.0,6.0,0.0,0.1,1000.0,1000.0,0.0,0.0,0.0,2.0,2.0,50.0
19651,19.0,15.0,6.0,4.0,200000.0,2100000.0,120000.0,0.0,0.0,0.0,1.0,2.0,50.0
19664,18.0,30.0,1.0,8.0,110000.0,210000.0,2.5,0.0,1.0,0.0,1.0,2.0,50.0
19710,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
19717,50.0,32.0,6.0,23.0,3500000.0,30000000.0,2.5,0.0,0.0,0.0,2.0,2.0,100.0
19775,50.0,32.0,6.0,1.0,30000.0,220000.0,20000.0,0.0,0.0,0.0,1.0,2.0,50.0
19776,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
19790,9.0,1.0,3.0,4.0,2184000.0,19656000.0,1000000.0,0.0,0.0,0.0,2.0,2.0,50.0
19867,184.0,25.0,7.0,10.0,1500000.0,13500000.0,400000.0,0.0,0.0,0.0,2.0,2.0,100.0
19868,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
19884,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
19951,26.0,29.0,1.0,5.0,450000.0,3000000.0,160000.0,0.0,1.0,0.0,1.0,2.0,50.0
19985,8.0,19.0,5.0,6.0,840000.0,2000000.0,280000.0,0.0,0.0,0.0,2.0,2.0,100.0
20026,147.0,25.0,7.0,0.0,30000.0,600000.0,50000.0,0.0,0.0,0.0,2.0,2.0,50.0
20056,1.0,33.0,2.0,2.0,83500.0,800000.0,50000.0,0.0,1.0,0.0,2.0,2.0,50.0
20063,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
20084,18.0,30.0,1.0,2.0,50000.0,300000.0,15000.0,0.0,0.0,0.0,1.0,2.0,50.0
